"lang"
{
	"Language"		"English"
		"DOTA_Tooltip_modifier_terror_lord_horror_genesis_thinker_debuff_Description"		"Attack damage, spell damage, armor and elemental resistances reduced."
		"DOTA_Tooltip_modifier_terror_lord_horror_genesis_thinker_buff"		"Horror Genesis"
		"DOTA_Tooltip_modifier_terror_lord_horror_genesis_thinker_buff_Description"		"Increased Strength."
		"DOTA_Tooltip_Ability_terror_lord_flame_of_menace"		"Flame of Menace"
		"DOTA_Tooltip_Ability_terror_lord_flame_of_menace_Description"		"Terror Lord burns a path in front of him with inferno fire that deals damage over time based on his attack damage."
        "DOTA_Tooltip_Ability_terror_lord_flame_of_menace_damage"		"%ATTACK DAMAGE TO DAMAGE: "
        "DOTA_Tooltip_Ability_terror_lord_flame_of_menace_length"		"LENGTH: "
        "DOTA_Tooltip_Ability_terror_lord_flame_of_menace_duration"		"DURATION: "
		"DOTA_Tooltip_Ability_terror_lord_immolation"		"Immolation"
		"DOTA_Tooltip_Ability_terror_lord_immolation_Description"		"Terror Lord covers himself in inferno fire, which burns all enemies around him based on his attack damage."
        "DOTA_Tooltip_Ability_terror_lord_immolation_damage"		"%ATTACK DAMAGE TO DAMAGE: "
        "DOTA_Tooltip_Ability_terror_lord_immolation_radius"		"RADIUS: "
		"DOTA_Tooltip_Ability_terror_lord_inferno_impulse"		"Inferno Impulse"
		"DOTA_Tooltip_Ability_terror_lord_inferno_impulse_Description"		"Terror Lord melts the armor of nearby enemies and absorbs it to create a protective inferno shield based on his maximum health. The shield is stronger for each enemy affected."
        "DOTA_Tooltip_Ability_terror_lord_inferno_impulse_armor"		"%ARMOR REDUCTION: "
        "DOTA_Tooltip_Ability_terror_lord_inferno_impulse_armor_duration"		"ARMOR REDUCTION DURATION: "
        "DOTA_Tooltip_Ability_terror_lord_inferno_impulse_absorb"		"%MAXIMUM HEALTH TO INFERNO SHIELD: "
        "DOTA_Tooltip_Ability_terror_lord_inferno_impulse_absorb_bonus"		"%BONUS PER ENEMY AFFECTED: "
        "DOTA_Tooltip_Ability_terror_lord_inferno_impulse_radius"		"RADIUS: "
		"DOTA_Tooltip_modifier_terror_lord_inferno_impulse"		"Inferno Shield"
        "DOTA_Tooltip_modifier_terror_lord_inferno_impulse_Description"		"Absorbing %dMODIFIER_PROPERTY_TOOLTIP% damage."
		"DOTA_Tooltip_modifier_terror_lord_inferno_impulse_debuff"		"Inferno Impulse"
        "DOTA_Tooltip_modifier_terror_lord_inferno_impulse_debuff_Description"		"Armor reduced."
		"DOTA_Tooltip_Ability_terror_lord_pit_of_seals"		"Pit of Seals"
		"DOTA_Tooltip_Ability_terror_lord_pit_of_seals_Description"		"Terror Lord raises a pit that traps enemies inside. They'll be periodically rooted and have reduced armor and elemental resistances."
        "DOTA_Tooltip_Ability_terror_lord_pit_of_seals_root_duration"		"ROOT DURATION: "
        "DOTA_Tooltip_Ability_terror_lord_pit_of_seals_root_cd"		"ROOT COOLDOWN: "
        "DOTA_Tooltip_Ability_terror_lord_pit_of_seals_duration"		"DURATION: "
        "DOTA_Tooltip_Ability_terror_lord_pit_of_seals_armor"		"%ARMOR REDUCTION: "
        "DOTA_Tooltip_Ability_terror_lord_pit_of_seals_elementalarmor"		"%ELEMENTAL RESISTANCES REDUCTION: "
        "DOTA_Tooltip_Ability_terror_lord_pit_of_seals_radius"		"RADIUS: "
		"DOTA_Tooltip_modifier_terror_lord_pit_of_seals_root"		"Pit of Seals"
        "DOTA_Tooltip_modifier_terror_lord_pit_of_seals_root_Description"		"Rooted."
		"DOTA_Tooltip_modifier_terror_lord_pit_of_seals_thinker_aura_debuff"		"Pit of Seals"
        "DOTA_Tooltip_modifier_terror_lord_pit_of_seals_thinker_aura_debuff_Description"		"Armor and elemental resistances reduced."
		"DOTA_Tooltip_Ability_terror_lord_aura_of_seals"		"Aura of Seals"
		"DOTA_Tooltip_Ability_terror_lord_aura_of_seals_Description"		"Terror Lord spreads terror among nearby enemies, making them tremble in fear, which reduces their attack and spell damage."
        "DOTA_Tooltip_Ability_terror_lord_aura_of_seals_aadamage"		"%ATTACK DAMAGE REDUCTION: "
        "DOTA_Tooltip_Ability_terror_lord_aura_of_seals_spelldamage"		"%SPELL DAMAGE REDUCTION: "
        "DOTA_Tooltip_Ability_terror_lord_aura_of_seals_radius"		"RADIUS: "
        "DOTA_Tooltip_modifier_terror_lord_aura_of_seals_enemy_aura_debuff"		"Aura of Seals"
        "DOTA_Tooltip_modifier_terror_lord_aura_of_seals_enemy_aura_debuff_Description"		"Attack and spell damage reduced."
		// Blazing Berserker (Axe)
		"DOTA_Tooltip_Ability_blazing_berserker_molten_strike"		"Molten Strike"
		"DOTA_Tooltip_Ability_blazing_berserker_molten_strike_Description"		"Blazing Berserker refines his weapon in the boiling lava of the Molten Core, granting him bonus fire damage and making his auto attacks cleave."
        "DOTA_Tooltip_Ability_blazing_berserker_molten_strike_fire_dmg"		"%BONUS FIRE DAMAGE: "
        "DOTA_Tooltip_Ability_blazing_berserker_molten_strike_damage"		"%ATTACK DAMAGE TO CLEAVE: "
        "DOTA_Tooltip_Ability_blazing_berserker_molten_strike_radius"		"CLEAVE RADIUS: "
        "DOTA_Tooltip_modifier_blazing_berserker_molten_strike"		"Molten Strike"
        "DOTA_Tooltip_modifier_blazing_berserker_molten_strike_Description"		"Dealing more fire damage and cleaving with auto attacks."
		"DOTA_Tooltip_Ability_blazing_berserker_incinerating_souls"		"Incinerating Souls"
		"DOTA_Tooltip_Ability_blazing_berserker_incinerating_souls_Description"		"Blazing Berserker uses the ferocious Fire Spirit that guards the Molten Core to enrage an enemy. This causes it to be slowed and take fire damage over time based on his attack damage."
        "DOTA_Tooltip_Ability_blazing_berserker_incinerating_souls_damage"		"%ATTACK DAMAGE TO DOT: "
        "DOTA_Tooltip_Ability_blazing_berserker_incinerating_souls_ms_slow"		"%MOVE SPEED SLOW: "
        "DOTA_Tooltip_Ability_blazing_berserker_incinerating_souls_duration"		"DURATION: "
        "DOTA_Tooltip_modifier_blazing_berserker_incinerating_souls"		"Incinerating Souls"
        "DOTA_Tooltip_modifier_blazing_berserker_incinerating_souls_Description"		"Slowed and taking fire damage over time."
		"DOTA_Tooltip_Ability_blazing_berserker_battle_hunger"		"Battle Hunger"
		"DOTA_Tooltip_Ability_blazing_berserker_battle_hunger_Description"		"Blazing Berserker focuses the rage in his veins, gaining increased Strength and costing him mana every second. At level 4, his auto attacks gain a chance to stun and deal additional damage."
        "DOTA_Tooltip_Ability_blazing_berserker_battle_hunger_primary"		"%BONUS STRENGTH: "
        "DOTA_Tooltip_Ability_blazing_berserker_battle_hunger_stun_bonusdmg"		"%STUN BONUS ATTACK DAMAGE: "
        "DOTA_Tooltip_Ability_blazing_berserker_battle_hunger_stun_chance"		"%STUN CHANCE: "
        "DOTA_Tooltip_Ability_blazing_berserker_battle_hunger_stun_duration"		"STUN DURATION: "
        "DOTA_Tooltip_Ability_blazing_berserker_battle_hunger_mana"		"%MAXIMUM MANA PER SECOND: "
        "DOTA_Tooltip_modifier_blazing_berserker_battle_hunger"		"Batthe Hunger"
        "DOTA_Tooltip_modifier_blazing_berserker_battle_hunger_Description"		"Strength increased."
		"DOTA_Tooltip_Ability_blazing_berserker_rage_eruption"		"Rage Eruption"
		"DOTA_Tooltip_Ability_blazing_berserker_rage_eruption_Description"		"No amount of pain inflicted on Blazing Berserker can make him surrender - it only enrages him and gives him strength to fight back. Each time Blazing Berserker is attacked, he gains attack speed, stacking up to 10 times. He also has a chance to apply Incinerating Souls (if learned) to the attacking enemy."
        "DOTA_Tooltip_Ability_blazing_berserker_rage_eruption_aaspeed"		"ATTACK SPEED PER STACK: "
        "DOTA_Tooltip_Ability_blazing_berserker_rage_eruption_maxstacks"		"MAXIMUM STACKS: "
        "DOTA_Tooltip_Ability_blazing_berserker_rage_eruption_proc_chance"		"%PROC CHANCE: "
        "DOTA_Tooltip_Ability_blazing_berserker_rage_eruption_duration"		"STACK DURATION: "
        "DOTA_Tooltip_modiifer_blazing_berserker_rage_eruption_buff"		"Rage Eruption"
        "DOTA_Tooltip_modiifer_blazing_berserker_rage_eruption_buff_Description"		"Attack speed increased."
		"DOTA_Tooltip_Ability_blazing_berserker_furious_stance"		"Furious Stance"
		"DOTA_Tooltip_Ability_blazing_berserker_furious_stance_Description"		"Blazing Berserker kindles the unstoppable fury in his veins in a volcanic eruption. Every second he sacrifices a percent of his health (non-lethal), armor and elemental resistances to the eternal fire of the Molten Core. In return he gains huge bonus attack damage, attack speed and fire damage. The cooldown of this skill cannot be reduced."
		"DOTA_Tooltip_Ability_blazing_berserker_furious_stance_damage"		"%MAXIMUM HEALTH PER SECOND: "
		"DOTA_Tooltip_Ability_blazing_berserker_furious_stance_armor_reduction"		"%ARMOR REDUCTION: "
		"DOTA_Tooltip_Ability_blazing_berserker_furious_stance_elemental_reduction"		"%ELEMENTAL RESISTANCES REDUCTION: "
		"DOTA_Tooltip_Ability_blazing_berserker_furious_stance_aadamage"		"%BONUS ATTACK DAMAGE: "
		"DOTA_Tooltip_Ability_blazing_berserker_furious_stance_aaspeed"		"%BONUS ATTACK SPEED: "
		"DOTA_Tooltip_Ability_blazing_berserker_furious_stance_firedmg"		"%BONUS FIRE DAMAGE: "
		"DOTA_Tooltip_Ability_blazing_berserker_furious_stance_duration"		"DURATION: "
        "DOTA_Tooltip_modiifer_blazing_berserker_furious_stance"		"Furious Stance"
        "DOTA_Tooltip_modiifer_blazing_berserker_furious_stance_Description"		"Attack damage, attack speed  and fire damage increased, but reduced armor and elemental resistances."
		// Chosen Invoker (Invoker)
		"DOTA_Tooltip_Ability_chosen_invoker_purification_brilliance"		"Purification Brilliance"
		"DOTA_Tooltip_Ability_chosen_invoker_purification_brilliance_Description"		"The Chosen Invoker channeling the blazing brilliance on a target, purifying it with holy light and deal damage based on Chosen Invoker's maximum mana. Every enemy killed during channeling will give Chosen Invoker the mana regeneration bonus."
        "DOTA_Tooltip_Ability_chosen_invoker_purification_brilliance_base_damage"		"BASE DAMAGE: "
        "DOTA_Tooltip_Ability_chosen_invoker_purification_brilliance_damage"		"%MAXIMUM MANA TO DAMAGE: "
        "DOTA_Tooltip_Ability_chosen_invoker_purification_brilliance_tick"		"DAMAGE EVERY: "
        "DOTA_Tooltip_Ability_chosen_invoker_purification_brilliance_mana"		"%MAXIMUM MANA TO REGENERATION: "
        "DOTA_Tooltip_Ability_chosen_invoker_purification_brilliance_mana_duration"		"REGENERATION DURATION: "
        "DOTA_Tooltip_modifier_chosen_invoker_purification_brilliance_buff"		"Purification Brilliance"
        "DOTA_Tooltip_modifier_chosen_invoker_purification_brilliance_buff_Description"		"Mana regeneration increased."
		"DOTA_Tooltip_Ability_chosen_invoker_flare_array"		"Flare Array"
		"DOTA_Tooltip_Ability_chosen_invoker_flare_array_Description"		"The Chosen Invoker releases the power of light inside him and cast splashing light explosions forward that damages enemies in a line. Each enemy hit will suffer instant damage and damage over time based on Chosen Invoker's maximum mana. For each enemy affect you will gain stack of Flaring effect that will increase the damage of next cast. All stacks will be consumed up instantly when cast."
        "DOTA_Tooltip_Ability_chosen_invoker_flare_array_mana_damage"		"%MAXIMUM MANA TO DAMAGE: "
        "DOTA_Tooltip_Ability_chosen_invoker_flare_array_dot_damage"		"%MAXIMUM MANA TO DOT: "
        "DOTA_Tooltip_Ability_chosen_invoker_flare_array_bonus_damage"		"%BONUS DAMAGE PER STACK: "
        "DOTA_Tooltip_Ability_chosen_invoker_flare_array_bonus_max"		"MAX STACKS: "
        "DOTA_Tooltip_Ability_chosen_invoker_flare_array_range"		"RANGE: "
        "DOTA_Tooltip_Ability_chosen_invoker_flare_array_dot_duration"		"DOT DURATION: "
        "DOTA_Tooltip_modifier_chosen_invoker_flare_array_dot"		"Flare Array"
        "DOTA_Tooltip_modifier_chosen_invoker_flare_array_dot_Description"		"Suffering from holy damage."
        "DOTA_Tooltip_modifier_chosen_invoker_flare_array_buff"		"Flaring"
        "DOTA_Tooltip_modifier_chosen_invoker_flare_array_buff_Description"		"Next cast of Flary Array will be with increased damage by %dMODIFIER_PROPERTY_TOOLTIP%%%."
		"DOTA_Tooltip_Ability_chosen_invoker_photon_pulse"		"Photon Pulse"
		"DOTA_Tooltip_Ability_chosen_invoker_photon_pulse_Description"		"The Chosen Invoker converges the photons around him, then releases a powerful light explosion, convulses all the enemies in its way. Enemies affected by explosion will be damaged, slowed and silenced.<br>Cast time: 1.3 seconds"
        "DOTA_Tooltip_Ability_chosen_invoker_photon_pulse_base_damage"		"BASE DAMAGE: "
        "DOTA_Tooltip_Ability_chosen_invoker_photon_pulse_mana_damage"		"%MAXIMUM MANA TO DAMAGE: "
        "DOTA_Tooltip_Ability_chosen_invoker_photon_pulse_slow"		"%MOVE SPEED SLOW: "
        "DOTA_Tooltip_Ability_chosen_invoker_photon_pulse_slow_duration"		"SLOW DURATION: "
        "DOTA_Tooltip_Ability_chosen_invoker_photon_pulse_silence_duration"		"SILENCE DURATION: "
        "DOTA_Tooltip_Ability_chosen_invoker_photon_pulse_radius"		"RADIUS: "
        "DOTA_Tooltip_modifier_chosen_invoker_photon_pulse_slow"		"Photon Pulse"
        "DOTA_Tooltip_modifier_chosen_invoker_photon_pulse_slow_Description"		"Slowed."
		"DOTA_Tooltip_Ability_chosen_invoker_light_shock"		"Light Shock"
		"DOTA_Tooltip_Ability_chosen_invoker_light_shock_Description"		"The Chosen Invoker call the mighty anger of Light Deity on selected area and purify it with beam of Origin Light. The cooldown of Light Shock can not be reduced by any means."
        "DOTA_Tooltip_Ability_chosen_invoker_light_shock_damage"		"BASE DAMAGE: "
        "DOTA_Tooltip_Ability_chosen_invoker_light_shock_mana_damage"		"%MAXIMUM MANA TO DAMAGE: "
        "DOTA_Tooltip_Ability_chosen_invoker_light_shock_stun"		"STUN DURATION: "
        "DOTA_Tooltip_Ability_chosen_invoker_light_shock_aoe"		"RADIUS: "
        // Crystal Sorceress (Maiden)
		"DOTA_Tooltip_Ability_crystal_sorceress_frost_comet"		"Frost Comet"
		"DOTA_Tooltip_Ability_crystal_sorceress_frost_comet_Description"		"Crystal Sorcerer summons the frost comet to strike upon a target, damages it based on her intelligence. The Frost Comet has chance to explode on impact, then scatter into dazzling frost dust that damage enemies around the primary target.<br>Cast time: 2 seconds"
		"DOTA_Tooltip_Ability_crystal_sorceress_frost_comet_damage"		"%INTELLECT TO DAMAGE: "
		"DOTA_Tooltip_Ability_crystal_sorceress_frost_comet_proc_chance"		"%EXPLOSION CHANCE: "
		"DOTA_Tooltip_Ability_crystal_sorceress_frost_comet_proc_damage"		"%INTELLECT TO EXPLOSION DAMAGE: "
		"DOTA_Tooltip_Ability_crystal_sorceress_frost_comet_proc_aoe"		"EXPLOSION RADIUS: "
		"DOTA_Tooltip_Ability_crystal_sorceress_sheer_cold"		"Sheer Cold"
		"DOTA_Tooltip_Ability_crystal_sorceress_sheer_cold_Description"		"Being favored by Guardian of the Freezing Core, Crystal Sorceress is gifted with the protective Sheer Cold aura to slows enemies around and increase their frost damage taken. For each second that enemy staying in this aura effect will be increased up to maximum. In order to maintain Sheer Cold aura Crystal Sorceress will sacrifice part of her maximum mana every second. After this ability reached level 4 Crystal Sorceress will also has a chance to freeze enemies in her aura for a short time with the inner cooldown for each target."
        "DOTA_Tooltip_Ability_crystal_sorceress_sheer_cold_slow_per_stack"		"%BONUS SLOW PER SECOND: "
        "DOTA_Tooltip_Ability_crystal_sorceress_sheer_cold_max_slow"		"%MAXIMUM SLOW: "
        "DOTA_Tooltip_Ability_crystal_sorceress_sheer_cold_damage_per_stack"		"%BONUS FROST DAMAGE PER SECOND: "
        "DOTA_Tooltip_Ability_crystal_sorceress_sheer_cold_max_damage"		"%MAXIMUM BONUS DAMAGE: "
        "DOTA_Tooltip_Ability_crystal_sorceress_sheer_cold_stun_chance"		"%FREEZE CHANCE: "
        "DOTA_Tooltip_Ability_crystal_sorceress_sheer_cold_stun_duration"		"FREEZE DURATION: "
        "DOTA_Tooltip_Ability_crystal_sorceress_sheer_cold_stun_cd"		"FREEZE COOLDOWN: "
        "DOTA_Tooltip_Ability_crystal_sorceress_sheer_cold_radius"		"RADIUS: "
        "DOTA_Tooltip_Ability_crystal_sorceress_sheer_cold_mana"		"%MAXIMUM MANA PER SECOND: "
        "DOTA_Tooltip_modifier_crystal_sorceress_sheer_cold_aura_debuff_stacks"		"Sheer Cold"
        "DOTA_Tooltip_modifier_crystal_sorceress_sheer_cold_aura_debuff_stacks_Description"		"Slowed, frost damage taken increased."
        "DOTA_Tooltip_modifier_crystal_sorceress_sheer_cold_stun"		"Sheer Cold"
        "DOTA_Tooltip_modifier_crystal_sorceress_sheer_cold_stun_Description"		"Stunned."
        "DOTA_Tooltip_modifier_crystal_sorceress_sheer_cold_stun_cd"		"Sheer Cold Cooldown"
        "DOTA_Tooltip_modifier_crystal_sorceress_sheer_cold_stun_cd_Description"		"Sheer Cold stun on cooldown."
		"DOTA_Tooltip_Ability_crystal_sorceress_glacier_rush"		"Glacier Rush"
		"DOTA_Tooltip_Ability_crystal_sorceress_glacier_rush_Description"		"Crystal Sorceress summons a powerful glacier rushing forward to smash all the targets on its way. Enemies struck by the glacier will be heavily damaged and stunned. Moreover, each enemy hit grants Crystal Sorceress a stack of effect, which gives her bonus critical strike chance."
        "DOTA_Tooltip_Ability_crystal_sorceress_glacier_rush_damage"		"%INTELLECT TO DAMAGE: "
        "DOTA_Tooltip_Ability_crystal_sorceress_glacier_rush_stack_crit"		"%BONUS CRITICAL CHANCE PER STACK: "
        "DOTA_Tooltip_Ability_crystal_sorceress_glacier_rush_max_stacks"		"MAX STACKS: "
        "DOTA_Tooltip_Ability_crystal_sorceress_glacier_rush_stacks_duration"		"STACKS DURATION: "
        "DOTA_Tooltip_Ability_crystal_sorceress_glacier_rush_stun_duration"		"STUN DURATION: "
        "DOTA_Tooltip_Ability_crystal_sorceress_glacier_rush_range"		"RANGE: "
        "DOTA_Tooltip_modifier_crystal_sorceress_glacier_rush"		"Glacier Rush"
        "DOTA_Tooltip_modifier_crystal_sorceress_glacier_rush_Description"		"Frost damage instances will have increase critical strike chance by %dMODIFIER_PROPERTY_TOOLTIP%%%."
        "DOTA_Tooltip_modifier_crystal_sorceress_glacier_rush_stun"		"Glacier Rush"
        "DOTA_Tooltip_modifier_crystal_sorceress_glacier_rush_stun_Description"		"Stunned."
		"DOTA_Tooltip_Ability_crystal_sorceress_freezing_destruction"		"Freezing Destruction"
		"DOTA_Tooltip_Ability_crystal_sorceress_freezing_destruction_Description"		"Crystal Sorceress freezing target in ice and summoning several comets from Frozen Realm to hurt all enemies around target (including it too). Critical strike damage for this ability increased.<br>Cast time: 2 seconds"
        "DOTA_Tooltip_Ability_crystal_sorceress_freezing_destruction_damage"		"%INTELLECT TO DAMAGE: "
        "DOTA_Tooltip_Ability_crystal_sorceress_freezing_destruction_meteors"		"COMETS: "
        "DOTA_Tooltip_Ability_crystal_sorceress_freezing_destruction_crit_dmg"		"%BONUS CRITICAL DAMAGE: "
        "DOTA_Tooltip_Ability_crystal_sorceress_freezing_destruction_stun_duration"		"FREEZE DURATION: "
        // Luminous Samurai (Juggernaut)
		"DOTA_Tooltip_Ability_luminous_samurai_bankai"		"Bankai"
		"DOTA_Tooltip_Ability_luminous_samurai_bankai_Description"		"Luminous Samurai gets his katana baptized with Origin Light that awake her power. Each successful hit on a target will grant Luminous Samurai stack of effect, which gives attack damage and critical damage. Every enemy killed during Bankai will also increase duration of Bankai effect."
        "DOTA_Tooltip_Ability_luminous_samurai_bankai_attack_dmg_per_stack"		"BONUS ATTACK DAMAGE PER STACK: "
        "DOTA_Tooltip_Ability_luminous_samurai_bankai_crit_dmg_per_stack"		"%BONUS CRITICAL STRIKE DAMAGE PER STACK: "
        "DOTA_Tooltip_Ability_luminous_samurai_bankai_stack_duration"		"STACKS DURATION: "
        "DOTA_Tooltip_Ability_luminous_samurai_bankai_max_stacks"		"MAXIMUM STACKS: "
        "DOTA_Tooltip_Ability_luminous_samurai_bankai_duration"		"DURATION: "
        "DOTA_Tooltip_Ability_luminous_samurai_bankai_bonus_duration"		"BONUS DURATION PER KILL: "
        "DOTA_Tooltip_modifier_luminous_samurai_bankai_buff"		"Bankai"
        "DOTA_Tooltip_modifier_luminous_samurai_bankai_buff_Description"		"Attack damage increased by %dMODIFIER_PROPERTY_TOOLTIP%, critical strike damage increased by %dMODIFIER_PROPERTY_TOOLTIP2%%%."
		"DOTA_Tooltip_Ability_luminous_samurai_jhana"		"Jhana"
		"DOTA_Tooltip_Ability_luminous_samurai_jhana_Description"		"The profound meditation in light brings Luminous Samurai the inner calmness and steady concentration of spiritual power. Therefore, he was gifted the insight to anticipate the action trail of enemies and the ability to evade any damage from them with chance. Each successful evasion grants him a Jhana stack that increase his hp and mana regeneration with inner cooldown. Each stack of Jhana effect have independent duration."
        "DOTA_Tooltip_Ability_luminous_samurai_jhana_proc_chance"		"%EVASION CHANCE: "
        "DOTA_Tooltip_Ability_luminous_samurai_jhana_hp_per_stack"		"HEALTH REGENERATION PER STACK: "
        "DOTA_Tooltip_Ability_luminous_samurai_jhana_mp_per_stack"		"MANA REGENERATION PER STACK: "
        "DOTA_Tooltip_Ability_luminous_samurai_jhana_stack_duration"		"STACK DURATION: "
        "DOTA_Tooltip_Ability_luminous_samurai_jhana_max_stacks"		"MAXIMUM STACKS: "
        "DOTA_Tooltip_Ability_luminous_samurai_jhana_stack_cd"		"INNER COOLDOWN: "
        "DOTA_Tooltip_modifier_luminous_samurai_jhana_buff"		"Jhana"
        "DOTA_Tooltip_modifier_luminous_samurai_jhana_buff_Description"		"Health regeneration increased, mana regeneration increased."
		"DOTA_Tooltip_Ability_luminous_samurai_judgment_of_light"		"Judgment of Light"
		"DOTA_Tooltip_Ability_luminous_samurai_judgment_of_light_Description"		"Luminous Samurai executes the magnificent and irrevocable judgment upon his enemy in the name of Origin Light. After channeling Luminous Samurai rushes to the target and inflicts deadly strikes upon it based on his attack damage. All deadly strikes may proc on hit effects and any damage during Judgment of Light will be enhanced by bonus critical strike chance, critical strike damage and holy damage amplification. If the target is destroyed by the Judgment of Light, then Luminous Samurai will get stack of Glorious Executioner effect that grants him bonus attack damage. The cooldown of this ability can not be less than 45 seconds."
        "DOTA_Tooltip_Ability_luminous_samurai_judgment_of_light_jump_damage"		"%ATTACK DAMAGE TO DAMAGE: "
        "DOTA_Tooltip_Ability_luminous_samurai_judgment_of_light_crit_chance"		"%BONUS CRITICAL CHANCE: "
        "DOTA_Tooltip_Ability_luminous_samurai_judgment_of_light_crit_dmg"		"%BONUS CRITICAL DAMAGE: "
        "DOTA_Tooltip_Ability_luminous_samurai_judgment_of_light_holy_dmg"		"%BONUS HOLY DAMAGE: "
        "DOTA_Tooltip_Ability_luminous_samurai_judgment_of_light_aa_dmg"		"BONUS ATTACK DAMAGE PER STACK: "
        "DOTA_Tooltip_Ability_luminous_samurai_judgment_of_light_aa_dmg_duration"		"STACK DURATION: "
        "DOTA_Tooltip_Ability_luminous_samurai_judgment_of_light_jumps"		"TOTAL AMOUNT OF STRIKES: "
        "DOTA_Tooltip_Ability_luminous_samurai_judgment_of_light_jump_delay"		"DELAY BETWEEN STRIKES: "
        "DOTA_Tooltip_modifier_luminous_samurai_judgment_of_light_buff"		"Glorious Executioner"
        "DOTA_Tooltip_modifier_luminous_samurai_judgment_of_light_buff_Description"		"Attack damage increased."
		"DOTA_Tooltip_Ability_luminous_samurai_blade_dance"		"Blade Dance"
		"DOTA_Tooltip_Ability_luminous_samurai_blade_dance_Description"		"Luminous Samurai dashes forward and rapidly slashes all enemies on the way with his katana based on his attack damage. Each slash leaves a sparkling light seed in the target's body from the wound, after certain numbers of seeds they will explode and deal damage to all enemies around bearer."
        "DOTA_Tooltip_Ability_luminous_samurai_blade_dance_damage"		"%ATTACK DAMAGE TO SLASH DAMAGE: "
        "DOTA_Tooltip_Ability_luminous_samurai_blade_dance_slashes"		"SLASHES: "
        "DOTA_Tooltip_Ability_luminous_samurai_blade_dance_dash_range"		"DASH RANGE: "
        "DOTA_Tooltip_Ability_luminous_samurai_blade_dance_proc_damage"		"%ATTACK DAMAGE TO EXPLOSION DAMAGE: "
        "DOTA_Tooltip_Ability_luminous_samurai_blade_dance_proc_radius"		"EXPLOSION RADIUS: "
        "DOTA_Tooltip_Ability_luminous_samurai_blade_dance_proc_count"		"SEEDS FOR EXPLOSION: "
        "DOTA_Tooltip_Ability_luminous_samurai_light_iai_giri"		"Light Iai-Giri"
        "DOTA_Tooltip_Ability_luminous_samurai_light_iai_giri_Description"		"Luminous Samurai after every critical strike damage instance caused by him will collect Light Seed of Destruction that will float around him. Whenever there are enough seeds will be collected Luminous Samurai can consume them to create powerful holy blast with his enhanced katana that will heavenly damage enemies around him. You can collect only limited amount of Light Seeds of Destruction. You cant collect new seeds before inner cooldown expires."
        "DOTA_Tooltip_Ability_luminous_samurai_light_iai_giri_proc_damage"		"%ATTACK DAMAGE TO DAMAGE: "
        "DOTA_Tooltip_Ability_luminous_samurai_light_iai_giri_proc_stacks"		"SEEDS REQUIRED: "
        "DOTA_Tooltip_Ability_luminous_samurai_light_iai_giri_max_stacks"		"MAXIMUM SEEDS: "
        "DOTA_Tooltip_Ability_luminous_samurai_light_iai_giri_stack_cd"		"INNER COOLDOWN: "
        "DOTA_Tooltip_Ability_luminous_samurai_light_iai_giri_proc_radius"		"RADIUS: "
        "DOTA_Tooltip_modifier_luminous_samurai_light_iai_giri"		"Light Seed of Destruction"
        "DOTA_Tooltip_modifier_luminous_samurai_light_iai_giri_Description"		"Amount of seeds that you collected."
		// Inventory
		"DOTA_Inventory_Title"		"Inventory"
		"DOTA_Inventory_Description"		"Your way of changing equipment to find the most powerful build that fits your needs. <br>Here you can equip the items acquired from your countless battles."
		"DOTA_Inventory_slot_mainhand"		"Main-Hand"
		"DOTA_Inventory_slot_body"		"Chest"
		"DOTA_Inventory_slot_legs"		"Leggings"
		"DOTA_Inventory_slot_boots"		"Boots"
		"DOTA_Inventory_slot_helmet"		"Helmet"
		"DOTA_Inventory_slot_offhand"		"Off-Hand"
		"DOTA_Inventory_slot_cape"		"Cape"
		"DOTA_Inventory_slot_shoulder"		"Shoulder"
		"DOTA_Inventory_slot_gloves"		"Gloves"
		"DOTA_Inventory_slot_ring1"		"Ring"
		"DOTA_Inventory_slot_belt"		"Belt"
		"DOTA_Inventory_slot_ring2"		"Amulet"
		"DOTA_Inventory_rarity_common"		"<font color='#FFFFFF'>Common</font>"
		"DOTA_Inventory_rarity_rare"		"<font color='#FA1A8E'>Rare</font>"
		"DOTA_Inventory_rarity_cursed"		"<font color='#FF0000'>Cursed</font>"
		"DOTA_Inventory_new_item"		"NEW ITEM"
		"DOTA_Inventory_current_item"		"CURRENT ITEM"
		"DOTA_Inventory_btn_replace"		"Replace"
		"DOTA_Inventory_btn_keep_both"		"Keep both"
		// Talent trees
		"DOTA_TalentTree_Title"		"Talent tree"
		"DOTA_TalentTree_Description"		"Manage your hero's talents here and create powerful builds.<br>Here you can manage your hero talents and create any build that you want."
		"DOTA_TalentTree_Total_Talent_Points"		"Talent points: %value%"
		"DOTA_TalentTree_Help"		"You gain a talent point every .... To unlock each row you must spend at least 3 points (for third row 2 points) in the subtree."
		"DOTA_TalentTree_Generic_Talent_1"		"Strength"
		"DOTA_TalentTree_Generic_Talent_1_Description"		"Increases your Strength by 10/20/30"
		"DOTA_TalentTree_Generic_Talent_2"		"Agility"
		"DOTA_TalentTree_Generic_Talent_2_Description"		"Increases your Agility by 10/20/30"
		"DOTA_TalentTree_Generic_Talent_3"		"Intelligence"
		"DOTA_TalentTree_Generic_Talent_3_Description"		"Increases your Intelligence by 10/20/30"
		"DOTA_TalentTree_Generic_Talent_4"		"Health"
